code,breadth_requirement,course_experience,description,recommended_preperation,prerequisite_description,exclusion_description,name,corequisite_description,note
IDSD19H3,SOCIAL_SCI,University-Based Experience,"This course focuses on recent theories and approaches to researcher-practitioner engagement in development. Using case studies, interviews, and extensive literature review, students will explore whether such engagements offer opportunities for effective social change and improved theory.",IDSC04H3,"12.0 credits, including IDSA01H3",,The Role of Researcher- Practitioner Engagement in Development,,
IDSD20H3,SOCIAL_SCI,,"This course offers an advanced critical introduction to the security-development nexus and the political economy of conflict, security, and development. It explores the major issues in contemporary conflicts, the securitization of development, the transformation of the security and development landscapes, and the broader implications they have for peace and development in the Global South. Same as AFSD20H3.",,[12.0 including (IDSA01H3 or AFSA01H3 or POLC09H3)] or by instructor’s permission,AFSD20H3,"Thinking Conflict, Security, and Development",,
IDSD90H3,SOCIAL_SCI,,"While domestic and international political factors have discouraged pro human development public policies in much of the global south, there have been some important success stories. This course examines the economic and social policies most successful in contributing to human development and explores the reasons behind these rare cases of relatively successful human development. Same as POLD90H3",,"[1.0 credit from: IDSB01H3, IDSB04H3, IDSB06H3, POLB90H3 or POLB91H3] and [2.0 credits at the C-level in any courses]",POLD90H3,Public Policy and Human Development in the Global South,,
JOUA01H3,ART_LIT_LANG,,"An introduction to the social, historical, philosophical, and practical contexts of journalism. The course will examine the skills required to become news literate. The course will look at various types of media and the role of the journalist. Students will be introduced to specific techniques to distinguish reliable news from so-called fake news. Media coverage and analysis of current issues will be discussed.",,,(MDSA21H3),Introduction to Journalism and News Literacy I,,
JOUA02H3,ART_LIT_LANG,,,,(MDSA21H3) or JOUA01H3,(MDSA22H3),Introduction to Journalism II A continuation of JOUA01H3. Prerequisite: (MDSA21H3) or JOUA01H3,,
JOUA06H3,HIS_PHIL_CUL,,"An examination of the key legal and ethical issues facing Canadian journalists, with an emphasis on the practical: what a journalist needs to know to avoid legal problems and develop strategies for handling ethical challenges. This course is taught at Centennial College and is open only to students in the Specialist (Joint) program in Journalism.",,10.0 credits including: JOUB01H3 and JOUB02H3 and ACMB02H3,(MDSB04H3),Contemporary Issues in Law and Ethics,JOUB11H3 and JOUB14H3 and JOUB18H3 and JOUB19H3,
JOUB01H3,ART_LIT_LANG,,"An examination of Canadian coverage of immigration and transnational issues. With the shift in Canada's demographics, media outlets are struggling to adapt to new realities. We will explore how media frame the public policy debate on immigration, multiculturalism, diaspora communities, and transnational issues which link Canada to the developing world.",,JOUA01H3 and JOUA02H3,(MDSB26H3),Covering Immigration and Transnational Issues,,
JOUB02H3,ART_LIT_LANG,,"The course examines the representation of race, gender, class and power in the media, traditional journalistic practices and newsroom culture. It will prepare students who wish to work in a media-related industry with a critical perspective towards understanding the marginalization of particular groups in the media.",,4.0 credits including JOUA01H3 and JOUA02H3,(MDSB27H3),Critical Journalism,,
JOUB03H3,ART_LIT_LANG,,"Today’s ‘contract economy’ means full-time staff jobs are rare. Students will dissect models of distribution and engagement, discussing trends, predictions and future opportunities in media inside and outside the traditional newsroom. This course is taught at Centennial College and is open only to students in the Specialist (Joint) program in Journalism.",,"14.5 credits, including: [JOUB05H3 and JOUB19H3 and JOUC18H3 and JOUC19H3 and JOUC20H3] and [(JOUB09H3) or JOUB20H3]; students must have a minimum CGPA of 2.0",,Business of Journalism,JOUC13H3 and JOUC25H3,
JOUB11H3,ART_LIT_LANG,,"Through research and practice, students gain an understanding of news judgment and value, finding and developing credible sources and developing interviewing, editing and curating skills. This course is taught at Centennial College and is open only to students in the Specialist (Joint) program in Journalism.",,10.0 credits including: JOUB01H3 and JOUB02H3 and ACMB02H3,,News Reporting,JOUA06H3 and JOUB14H3 and JOUB18H3 and JOUB19H3,
JOUB14H3,ART_LIT_LANG,,"Today, content creators and consumers both use mobile tools and technologies. Students will explore the principles of design, including responsive design, and how they apply to various platforms and devices. This course is taught at Centennial College and is open only to students in the Specialist (Joint) program in Journalism.",,10.0 credits including: JOUB01H3 and JOUB02H3 and ACMB02H3; students must have a minimum CGPA of 2.0,,Mobile Journalism,JOUA06H3 and JOUB11H3 and JOUB18H3 and JOUB19H3,
JOUB18H3,ART_LIT_LANG,,"Applying photo-journalism principles to the journalist's tool of choice, the smartphone. Students will take professional news and feature photos, video optimized for mobile use and will capture credible, shareable visual cross-platform stories. This course is taught at Centennial College and is open only to students in the Specialist (Joint) program in Journalism.",,"10.0 credits, including JOUB01H3 and JOUB02H3 and ACMB02H3",,Visual Storytelling: Photography and Videography,JOUA06H3 and JOUB11H3 and JOUB14H3 and JOUB19H3,
JOUB19H3,ART_LIT_LANG,,"To develop stories from raw numbers, students will navigate spreadsheets and databases, and acquire raw data from web pages. Students will learn to use Freedom of Information requests to acquire data. This course is taught at Centennial College and is open only to students in the Specialist (Joint) program in Journalism.",,"[10.0 credits, including: JOUA01H3 and JOUA02H3 and JOUB01H3 and JOUB02H3 and ACMB02H3]andstudents must have a minimum CGPA of 2.0",,Data Management and Presentation,JOUA06H3 and JOUB11H3 and JOUB14H3 and JOUB18H3,
JOUB20H3,ART_LIT_LANG,,Building the blending of traditional skills in reporting and writing with interactive production protocols for digital news. The course provides an introduction to web development and coding concepts. This course is taught at Centennial College and is open only to students in the Specialist (Joint) program in Journalism.,,"12.0 credits, including: JOUA06H3 and JOUB11H3 and JOUB14H3 and JOUB18H3 and JOUB19H3; students must have a minimum CGPA of 2.0",,Interactive: Data and Analytics,JOUB05H3 and JOUC18H3 and JOUC19H3 and JOUC20H3,
JOUB21H3,SOCIAL_SCI,,"Journalists must observe and understand while responsibly contextualizing and communicating. This course critically examines the motivations and methods of how current events are witnessed but also how changing journalistic forms mediate the social function of bearing witness to communicate a diversity of experiences across matrices of time, space, power, and privilege.",,Enrollment in Major program in Media Studies and Journalism – Journalism Stream or Enrolment in the Specialist (Joint) Program in Journalism,(ACMB02H3),Witnessing and Bearing Witness,,
JOUB24H3,ART_LIT_LANG,,"Journalism is undergoing a revolutionary change. Old trusted formats are falling away and young people are consuming, producing, exchanging, and absorbing news in a different way. The course will help students critically analyze new media models and give them the road map they will need to negotiate and work in New Media.",,,(MDSB24H3),Journalism in the Age of Digital Media,,
JOUB39H3,ART_LIT_LANG,,"An overview of the standard rules and techniques of journalistic writing. The course examines the basics of good writing style including words and structures most likely to cause problems for writers. Students will develop their writing skills through assignments designed to help them conceive, develop, and produce works of journalism.",,[(MDSA21H3) or JOUA01H3] and [(MDSA22H3) or JOUA02H3] and (HUMA01H3).,(MDSB39H3),Fundamentals of Journalistic Writing,,
JOUC13H3,ART_LIT_LANG,,"Working in groups under faculty supervision from the newsroom, students will create, present and share significant portfolio pieces of multiplatform content, demonstrating expertise in credible, verifiable storytelling for discerning audiences. This course is taught at Centennial College and is open only to students in the Specialist (Joint) program in Journalism.",,"14.5 credits, including: [JOUB05H3 and JOUC18H3 and JOUC19H3 and JOUC20H3] and [(JOUB09H3) or JOUB20H3]; students must have a minimum CGPA of 2.0",,Entrepreneurial Reporting,JOUB03H3 and JOUC25H3,
JOUC18H3,ART_LIT_LANG,,"This experiential learning course provides practical experience in communication, media and design industries, supporting the student-to-professional transition in advance of work placements, and graduation towards becoming practitioners in the field. This course is taught at Centennial College and is open only to students in the Specialist (Joint) program in Journalism.",,"[12.0 credits, including: JOUA06H3, JOUB11H3, JOUB14H3, JOUB18H3 and JOUB19H3; students must have a minimum CGPA of 2.0",,Storyworks,JOUB05H3 and JOUB20H3 and JOUC19H3 and JOUC20H3,
JOUC19H3,ART_LIT_LANG,,"Students will effectively use their mobile phones in the field to report, edit and share content, while testing emerging apps, storytelling tools and social platforms to connect with audiences. This course is taught at Centennial College and is open only to students in the Specialist (Joint) program in Journalism.",,"[12.0 credits, including: JOUA06H3 and JOUB11H3 and JOUB14H3 and JOUB18H3 and JOUB19H3; students must have a CGPA of 2.0",,Social Media and Mobile Storytelling,JOUB05H3 and JOUB20H3 and JOUC18H3 and JOUC20H3,
JOUC21H3,ART_LIT_LANG,Partnership-Based Experience,"Students will learn the technical fundamentals and performance skills of audio storytelling and explore best practices before researching, interviewing, reporting, editing and producing original podcasts of professional journalistic quality.",,"12 credits, including: JOUA06H3 and JOUB11H3 and JOUB14H3 and JOUB18H3 and JOUB19H3",,Podcasting,"JOUB20H3, JOUC18H3, JOUC19H3, JOUC21H3, JOUC22H3",
JOUC22H3,,University-Based Experience,Students will build on the skills in the Visual Storytelling course from the previous semester and focus on the creation and distribution of short- and long-form video for mobile devices and social platforms. Emphasis will be placed on refining interviewing skills and performance and producing documentary-style journalism.,,"12 credits, including: JOUA06H3 and JOUB11H3 and JOUB14H3 and JOUB18H3 and JOUB19H3",,Advanced Video and Documentary Storytelling,"JOUB20H3, JOUC18H3, JOUC19H3, JOUC21H3",
JOUC25H3,ART_LIT_LANG,Partnership-Based Experience,"In Field Placement, students use theoretical knowledge and applied skills in professional journalistic environments. Through individual work and as team members, students create editorial content on various platforms and undertake academic research and writing assignments that require them to reflect upon issues arising from their work placement experience. This course is taught at Centennial College and is open only to students in the Specialist (Joint) program in Journalism.",,"Students must be in good standing and have successfully completed groups 1, 2, and be completing group 3 of the Centennial College phase of the Specialist (Joint) program in Journalism.",,Field Placement,,This course will be graded as a CR if a student successfully completes their internship; and as NCR is the internship was unsuccessful. The NCR will impact the CGPA and count as a 0.0 CGPA value on a transcript.
JOUC30H3,ART_LIT_LANG,,"The forms of Journalism are being challenged as reporting styles diverge and change overtime, across genres and media. New forms of narrative experimentation are opened up by the Internet and multimedia platforms. How do participatory cultures challenge journalists to experiment with media and language to create new audience experiences?",,MDSB05H3 and JOUB39H3,,"Critical Approaches to Style, Form and Narrative",,Priority will be given to students in the Specialist (Joint) program in Journalism.
JOUC31H3,ART_LIT_LANG,,"The nexus between journalism, civic engagement and changing technologies presents opportunities and challenges for the way information is produced, consumed and shared. Topics range from citizen and networked journalism, mobile online cultures of social movements and everyday life, to the complicated promises of the internet’s democratizing potential and data-based problem solving.",,JOUB24H3,,"Journalism, Information Sharing and Technological Change",,Priority will be given to students in the Specialist (Joint) program in Journalism.
JOUC60H3,HIS_PHIL_CUL,,"New media technologies enable more production and distribution of culturally, ethnically and linguistically diverse voices than ever before. Who produces these diverse voices and how accessible are these media? This course explores various types of diasporic media from century-old newspapers to young and hip news and magazine blogs, produced by and for members of a multicultural society. Same as MDSC34H3",,[2.0 credits at the B-level in MDS courses] or [2.0 credits at the B-level in JOU courses] or [4.5 credits from the Major (Joint) program in New Media Studies Group I and Group II courses],"MDSC34H3, (MDSC60H3)",Diasporic Media,,
JOUC62H3,ART_LIT_LANG,,"This course explores themes of labour in news media and new media. Topics include labour conditions for media workers across sectors; the labour impacts of media convergence; and the global distribution of media labour including content generation and management. The course is structured by intersectional analyses, studying how race and racism, class, gender, sex and sexism, sexuality, nationality, global location and citizenship status, Indigeneity and religion shape our experiences of media, journalism and labour. Same as MDSC37H3",,[MDSA01H3 and MDSB05H3] or [JOUA01H3 and JOUA02H3] or [4.5 credits from the Major (Joint) program in New Media Studies Group I and Group II courses],"MDSC37H3, (MDSC62H3)","Media, Journalism and Digital Labour",,
JOUC80H3,HIS_PHIL_CUL,,"Understanding the interests and goals of audiences is a key part of media production. This course introduces communication research methods including ratings, metrics, in-depth interviews, and focus groups. The focus of class discussion and research project is to use these methods to be able to understand the nature of audiences’ media use in the digital age. Same as MDSC25H3",,[2.0 credits at the B level in MDS courses] or [2.0 credits at the B level in JOU courses] or [4.5 credits from the Major (Joint) program in New Media Studies Group I and Group II courses],"MDSC25H3, (MDSC80H3)",Understanding Audiences in the Digital Age,,
JOUD10H3,ART_LIT_LANG,University-Based Experience,A project-oriented capstone course requiring students to demonstrate the skills and knowledge necessary for contemporary journalism. Students will create a project that will serve as part of a portfolio or as a scholarly exploration of the state of the mass media. This course is open only to students in the Journalism Joint Program.,,JOUB03H3 and JOUC13H3 and JOUC25H3,,Senior Seminar in Journalism,,
JOUD11H3,ART_LIT_LANG,University-Based Experience,"Focusing on independent research, this course requires students to demonstrate the necessary analysis, research and writing skills required for advanced study. This seminar course provides the essential research skills for graduate work and other research-intensive contexts. Students will design and undertake unique and independent research about the state of journalism. Same as MDSD11H3",,"ACMB02H3 and [an additional 4.5 credits in MDS or JOU courses, 1.0 credit of which must be at the C- level]",MDSD11H3,Senior Research Seminar in Media and Journalism,,Priority will be given to students in the Specialist (Joint) program in Journalism.
JOUD12H3,ART_LIT_LANG,,"Journalism is a field that influences – and is influenced by – politics, finance, and civil society. This course raises contentious questions about power and responsibility at the core of journalism’s role in society. Challenges to the obligations of responsible journalism are examined through changing economic pressures and ties to political cultures.",,"[1.0 credit from the following: JOUC30H3, JOUC31H3, JOUC62H3, JOUC63H3]",,"Journalism at the Intersection of Politics, Economics and Ethics",,Priority will be given to students in the Specialist (Joint) program in Journalism.
JOUD13H3,ART_LIT_LANG,,"There is a technological and strategic arms race between governmental, military, and corporate entities on the one hand and citizens, human rights workers, and journalists on the other. Across diverse geopolitical contexts, journalistic work faces systematic surveillance alongside the censorship of free speech and a free internet. This course examines those threats to press freedom and how the same technologies support collaboration among citizens and journalists–across borders, languages, and legal regimes – to hold abuses of power to account.",,0.5 credits at JOU C-level,,"Surveillance, Censorship, and Press Freedom",,
LGGA10H3,ART_LIT_LANG,,"Beginner Korean I is an introductory course to the Korean language. Designed for students with no or minimal knowledge of the language, the course will first introduce the Hangeul alphabet (consonants and vowels) and how words are constructed (initial, medial, final sounds). Basic grammar patterns, frequently used vocabulary, and common everyday topics will be covered. Weekly cultural titbits will also be introduced to assist and enrichen the language learning experience. The overall aim of the course is to give students a strong grasp of the basics of the Korean language as well as elements of contemporary Korean culture.",,,"EAS110Y1 (UTSG) EAS211Y1 (UTSG) Not open to native speakers of Korean (more than minimal knowledge of Korean etc.); the instructor has the authority to exclude students whose level of proficiency is unsuitable for the course, with support from program administration as needed.",Beginner Korean I,,
LGGA12H3,ART_LIT_LANG,,"Beginner Korean II is the continuation of Beginner Korean I. Designed for students who have completed Beginner Korean I, the course will build upon and help to solidify knowledge of the Korean language already learnt. Additional grammar patterns, as well as commonly used vocabulary and expressions will be covered. Further weekly cultural titbits will also be introduced to assist and enrichen the language learning experience. The overall aim of the course is to give students a stronger grasp of beginner level Korean, prepare them for higher levels of Korean language study, increase their knowledge of contemporary Korean culture and enable them to communicate with Korean native speakers about daily life.",,LGGA10H3: Beginner Korean I,"EAS110Y1 (UTSG) EAS211Y1 (UTSG) Not open to native speakers of Korean (more than minimal knowledge of Korean etc.); the instructor has the authority to exclude students whose level of proficiency is unsuitable for the course, with support from program administration as needed.",Beginner Korean II,,
LGGA61H3,HIS_PHIL_CUL,,A continuation of LGGA60H3. This course will build on the skills learned in LGGA60H3.,,LGGA60H3 or (LGGA01H3),"All EAS, CHI and LGG Chinese courses except LGGA60H3 or (LGGA01H3). The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course, including those students who meet the prerequisite.",Introductory Standard Chinese II,,
LGGA64H3,ART_LIT_LANG,,"An introduction to Modern Standard Chinese for students who speak some Chinese (any dialect) because of their family backgrounds but have minimal or no literacy skills in the language. Emphasis is placed on Mandarin phonetics and written Chinese through reading, writing and translation.",,,"(LGGA62H3), (LGGB64H3). All EAS, CHI and LGG Chinese language courses. The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course.",Chinese I for Students with Prior Backgrounds,,
LGGA65H3,HIS_PHIL_CUL,,,,LGGA64H3 or (LGGA62H3),"(LGGA63H3), (LGGB65H3). All EAS, CHI and LGG Chinese language courses except LGGA64H3 or (LGGB64H3) or (LGGA62H3). The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course, including those students who meet the prerequisite.",Chinese II for Students with Prior Backgrounds A continuation of LGGA64H3.,,
LGGA70H3,ART_LIT_LANG,,An elementary course for students with no knowledge of Hindi. Students learn the Devanagari script and the Hindi sound system in order to start reading and writing in Hindi. The course also develops listening and speaking skills through culturally-based materials. Course materials are enhanced by audio-visual and computer-based activities.,,,"HIN212Y, NEW212Y, LGGA72Y3, or any knowledge of Hindi. The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course.",Introductory Hindi I,,Students who speak Hindi or Urdu as a home language should enrol in LGGB70H3 or LGGB71H3.
LGGA71H3,HIS_PHIL_CUL,,,,LGGA70H3,"HIN212Y, NEW212Y, LGGA72Y3, or knowledge of Hindi beyond materials covered in LGGA70H3. The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course, including those students who meet the prerequisite.",Introductory Hindi II A continuation of LGGA70H3. Prerequisite: LGGA70H3,,
LGGA72Y3,ART_LIT_LANG,,This is an intensive elementary course for students with no knowledge of Hindi. It combines the materials taught in both LGGA70H3 and LGGA71H3. Students will learn the Devanagari script and the Hindi sound system in order to start reading and writing in Hindi. The course also develops listening and speaking skills through culturally-based materials. Course materials are enhanced by audio-visual and computer-based activities.,,,"LGGA70H, LGGA71H, HIN212Y, NEW212Y, any prior knowledge of Hindi. The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course.",Intensive Introductory Hindi,,This is a 1.0 credit course that will be offered only in the Summer semesters as part of the Summer Language Institute.
LGGA74H3,ART_LIT_LANG,,An elementary course for students with minimal or no knowledge of Tamil. Students learn the Tamil script and sound system. The course also develops listening and speaking skills through culturally-based materials. Course materials are enhanced by audio-visual and computer-based activities.,,,"NEW213Y, LGGA76Y3, or high school Tamil, more than minimal knowledge of Tamil. The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course.",Introductory Tamil I,,
LGGA75H3,HIS_PHIL_CUL,,,,LGGA74H3,"NEW213Y, LGGA76Y3, or knowledge of Tamil beyond materials covered in LGGA74H3. The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course, including those students who meet the prerequisite.",Introductory Tamil II A continuation of LGGA74H3. Prerequisite: LGGA74H3,,
LGGA76Y3,ART_LIT_LANG,,An intensive elementary course for students with minimal or no knowledge of Tamil. Students learn the Tamil script and sound system. The course also develops listening and speaking skills through culturally-based materials. Course materials are enhanced by audio-visual and computer based activities.,,,"LGGA74H3, LGGA75H3, NEW213Y, high school Tamil, more than minimal knowledge of Tamil. The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course.",Intensive Introductory Tamil,,This is a 1.0 credit course that will be offered only in the Summer semesters as part of the Summer Language Institute.
LGGA78Y3,ART_LIT_LANG,,This is an elementary course for students with no knowledge of Bengali. Students will learn the Bengali script and sound system in order to start reading and writing in Bengali. The course also develops listening and speaking skills through culturally-based materials. Course materials are enhanced by audio-visual and computer based activities.,,,Any knowledge of Bengali. The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course.,Intensive Introductory Bengali,,This is a 1.0 credit course that will be offered only in the Summer semesters as part of the Summer Language Institute.
LGGA80H3,ART_LIT_LANG,,A beginning course for those with minimal or no knowledge of Japanese. The course builds proficiency in both language and culture. Language practice includes oral skills for simple daily conversation; students will be introduced to the Japanese writing systems and learn to read and write simple passages.,,,EAS120Y or LGGA82Y3. The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course.,Introductory Japanese I,,
LGGA81H3,HIS_PHIL_CUL,,,,LGGA80H3,"EAS120Y or LGGA82Y3. The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course, including those students who meet the prerequisite.",Introductory Japanese II Continuation of Introductory Japanese I. Prerequisite: LGGA80H3,,
LGGA82Y3,ART_LIT_LANG,,"This course is an intensive elementary course for those with minimal or no knowledge of Japanese. It combines the materials taught in both LGGA80H3 and LGGA81H3, and builds on proficiency in both language and culture. Language practice includes oral skills for simple daily conversation. Students will also be introduced to the Japanese writing systems and learn to read and write simple passages.",,,"LGGA80H, LGGA81H, EAS120Y. The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course.",Intensive Introductory Japanese,,This is a 1.0 credit course that will be offered only in the Summer semesters as part of the Summer Language Institute.
LGGA90Y3,ART_LIT_LANG,,"This course is an intensive elementary course in written and spoken Spanish, including comprehension, speaking, reading, and writing. It is designed for students who have no previous knowledge of Spanish. The course will develop listening and speaking skills through culturally-based materials, which will be enhanced by audio-visual and computer-based activities.",,,"Grade 12 Spanish, LGGA30H, LGGA31H, SPA100Y, native or near-native proficiency in Spanish. The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course.",Intensive Introductory Spanish,,This is a 1.0 credit course that will be offered only in the Summer semesters as part of the Summer Language Institute at UTSC.
LGGA91Y3,ART_LIT_LANG,,"An introduction to the basic grammar and vocabulary of standard Arabic - the language common to the Arab world. Classroom activities will promote speaking, listening, reading, and writing. Special attention will be paid to reading and writing in the Arabic script.",,,"LGGA40H, LGGA41H, ARA212Y, (NMC210Y), NML210Y, Arabic instruction in high school, prior knowledge of spoken Arabic. The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course.",Intensive Introductory Modern Standard Arabic,,This is a 1.0 credit course that will be offered only in the Summer semesters as part of the Summer Language Institute.
LGGA95Y3,ART_LIT_LANG,,"This is an intensive elementary course for students with minimal to no knowledge of the featured language. Students will learn the script and sound system so they may begin to read and write in this language. The course will develop listening and speaking skills through culturally-based materials, which will be enhanced by audio-visual and computer-based activities. Students may not repeat this course for credit, including when the current featured language is different from previous featured languages.",,,"Exclusions will vary, dependent on the language offered; students are cautioned that duplicating their studies, whether inadvertently or otherwise, contravenes UTSC academic regulations.",Intensive Introduction to a Featured Language,,"This is a 1.0 credit course that will be offered only in the Summer semesters as part of the Summer Language Institute; it may not be offered every summer. When the course is offered, the featured language and exclusions will be indicated on the Course Timetable."
LGGB60H3,ART_LIT_LANG,,"This course will develop listening, speaking, reading, and writing skills in Standard Chinese. Writing tasks will help students to progress from characters to compositions and will include translation from Chinese to English and vice versa. The course is not open to students who have more than the rudiments of Chinese.",,LGGA61H3 or (LGGA02H3),"All EAS and CHI 200- and higher level Chinese language courses; all B- and higher level LGG Chinese language courses; native speakers of any variety of Chinese. The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course, including those students who meet the prerequisite.",Intermediate Chinese I,,
LGGB61H3,ART_LIT_LANG,,,,LGGB60H3,"All EAS and CHI 200- and higher level language Chinese courses; all B- and higher level LGG Chinese language courses except LGGB60H3, LGGA64H3, and (LGGB64H3). All native speakers of any variety of Chinese. The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course, including those students who meet the prerequisite.",Intermediate Chinese II A continuation of LGGB60H3. Prerequisite: LGGB60H3,,
LGGB62H3,ART_LIT_LANG,,"This course will further improve the literacy skills of heritage students by studying more linguistically sophisticated and topically extensive texts. Those who have not studied pinyin, the Mandarin pronunciation tool, but know about 600-800 complex or simplified Chinese characters should take this course instead of courses LGGA64H3 and LGGA65H3.",,LGGA65H3 or (LGGA63H3) or equivalent,"All EAS and CHI 200- and higher level language Chinese courses; all B- and higher level LGG language Chinese courses. The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course, including those students who meet the prerequisite.",Intermediate Chinese for Heritage Students I,,
LGGB63H3,HIS_PHIL_CUL,,,,LGGB62H3,All EAS and CHI 200- and higher level language Chinese courses; all B- and higher level LGG Chinese language courses except LGGB62H3.,Intermediate Chinese for Heritage Students II A continuation of LGGB62H3.,,
LGGB70H3,ART_LIT_LANG,,"Develops language and literacy through the study of Hindi cinema, music and dance along with an introduction to theatrical and storytelling traditions. The course enhances acquisition of cultural competence in Hindi with composition and conversation, complemented by culture-based material, film and other media.",,,Not for students educated in India. The instructor has the authority to exclude students whose level of proficiency is unsuitable for the course.,Hindi I for Students with Prior Background,,
